transaction_id,amount,user_id,service,service_type,payment_status,reason,date
RCG_0C338474B366,926.59,PP0021371,Recharge_Bills,Fastag Recharge,Successful,Successful,2024-06-09
RCG_6B3B86B07A76,1211.64,PP0002388,Recharge_Bills,Dth,Successful,Successful,2024-08-04
RCG_767822392A0E,746.27,PP1101831,Recharge_Bills,Cable Tv,Successful,Successful,2024-02-19
RCG_527E6AC74B11,1319.89,PP0033099,Recharge_Bills,Mobile Recharge,Successful,Successful,2024-12-22
RCG_6B50A8C694E1,112.44,PP1059869,Recharge_Bills,Cable Tv,Successful,Successful,2024-09-07
RCG_E63DCBDBB8C9,1278.95,PP1093720,Recharge_Bills,Fastag Recharge,Successful,Successful,2024-07-25
RCG_DD16B3117FB9,1206.69,PP1067328,Recharge_Bills,Fastag Recharge,Successful,Successful,2024-08-06
RCG_654D31ECCDC2,1945.11,PP0041770,Recharge_Bills,Fastag Recharge,Successful,Successful,2024-04-23
RCG_6C53A7808151,1014.3,PP0017979,Recharge_Bills,Fastag Recharge,Successful,Successful,2024-06-25
RCG_92AE572161FA,1954.71,PP1085390,Recharge_Bills,Dth,Successful,Successful,2024-11-20
RCG_F318A83120F2,198.23,PP1086434,Recharge_Bills,Mobile Recharge,Successful,Unknown,2024-08-19
RCG_2841A00FD86A,1815.32,PP0006016,Recharge_Bills,Cable Tv,Successful,Successful,2024-04-26
RCG_43541CA10FD1,1014.3,PP1089257,Recharge_Bills,Cable Tv,Failed,Insufficient amount,2024-10-17
RCG_E2611C60AB17,1975.16,PP0046798,Recharge_Bills,Mobile Recharge,Successful,Successful,2024-04-24
RCG_FD9B254440AF,1541.82,PP0006864,Recharge_Bills,Dth,Unknown,Successful,2024-12-18
RCG_7F994AAA8517,542.9,PP1074431,Recharge_Bills,Dth,Successful,Successful,2024-04-19
RCG_CED50D53511D,1003.89,PP1084946,Recharge_Bills,Cable Tv,Successful,Successful,2024-08-24
RCG_834ECCB39D81,1805.79,PP1050343,Recharge_Bills,Mobile Recharge,Successful,Successful,2024-08-25
RCG_3727F03EF2B8,300.71,PP0006342,Recharge_Bills,Dth,Unknown,Successful,2024-03-24
RCG_576C893FD092,1201.85,PP1061529,Recharge_Bills,Fastag Recharge,Successful,Successful,2024-02-08
RCG_C960C7358F3A,1101.28,PP1058940,Recharge_Bills,Cable Tv,Successful,Successful,2024-09-11
RCG_E7C3CD65734C,1373.12,PP0029000,Recharge_Bills,Cable Tv,Successful,Successful,2024-09-14
RCG_1EED4FC6F884,967.14,PP1085625,Recharge_Bills,Fastag Recharge,Successful,Successful,2024-11-23
RCG_8C15912F58E7,825.94,PP1093095,Recharge_Bills,Cable Tv,Successful,Unknown,2024-10-07
RCG_99E9393B4215,663.4,PP0049549,Recharge_Bills,Dth,Successful,Successful,2024-05-01
RCG_46F40BE55ECB,1954.45,PP1070797,Recharge_Bills,Fastag Recharge,Successful,Successful,2024-02-01
RCG_164B5F26A311,1124.64,PP1074057,Recharge_Bills,Fastag Recharge,Successful,Successful,2024-05-25
RCG_D21053B16DC2,1562.92,PP1078446,Recharge_Bills,Cable Tv,Successful,Successful,2024-03-21
RCG_5BAA424C0E25,1605.76,PP1103129,Recharge_Bills,Mobile Recharge,Successful,Successful,2024-04-06
RCG_2A4EA52E7BB9,673.2,PP0042994,Recharge_Bills,Dth,Successful,Unknown,2024-01-31
RCG_906B5B9B547D,72.88,PP0016256,Recharge_Bills,Dth,Successful,Successful,2024-01-15
RCG_1091F897F0E8,1547.41,PP0011010,Recharge_Bills,Cable Tv,Successful,Successful,2024-03-01
RCG_29FC81027FA5,1095.92,PP0041253,Recharge_Bills,Dth,Successful,Successful,2024-06-07
RCG_B4145FE478D4,542.59,PP0007150,Recharge_Bills,Cable Tv,Successful,Successful,2024-11-28
RCG_5BCA4D3ECB7F,41.74,PP0016257,Recharge_Bills,Fastag Recharge,Successful,Successful,2024-06-07
RCG_E290CED72CA8,400.71,PP0049992,Recharge_Bills,Cable Tv,Successful,Successful,2024-07-23
RCG_A8DA9CEAC215,1750.47,PP0026380,Recharge_Bills,Dth,Successful,Successful,2024-07-05
RCG_13B40D66447C,1313.58,PP1071169,Recharge_Bills,Dth,Successful,Successful,2024-11-01
RCG_1FA3FC7B10A1,742.93,PP0038419,Recharge_Bills,Cable Tv,Successful,Successful,2024-10-26
RCG_5EB7F7B90C36,1615.3,PP1089425,Recharge_Bills,Fastag Recharge,Successful,Successful,2024-11-30
RCG_FC08BD999764,1208.84,PP0022493,Recharge_Bills,Fastag Recharge,Successful,Successful,2024-12-18
RCG_6284487A0EA1,585.66,PP0036570,Recharge_Bills,Dth,Successful,Successful,2024-10-31
