Transaction ID,Amount,User ID,Service,Service Type,Payment_Status,Reason,Date
RCG_ET844AJ87WMUX,777.19,PP3633125,Recharge_Bills,DTH,Success,Success,19-07-2026
RCG_6MR7CF7Z6L2MG,280.74,PP6687550,Recharge_Bills,FASTag Recharge ,Failed,Insufficient Balance,19-07-2026
RCG_VV5RPY9Z3UWMA,900.17,PP3744534,Recharge_Bills,DTH ,Success,Success,19-07-2026
RCG_8VNHQJM46SDHL,917.41,PP2459904,Recharge_Bills,DTH,Success,Success,19-07-2026
RCG_3AVDGPSBDOY0C,646.65,PP3537779,Recharge_Bills,DTH,Success,Success,19-07-2026
RCG_LCGWS2GRJN44X,132.45,PP3960821,Recharge_Bills,nan ,Success,Success,19-07-2026
RCG_TO0NPAWJY9V3R,969.43,PP1193712,Recharge_Bills,DTH ,Success,Success,19-07-2026
RCG_SNQXF1TCW2W3X,701.56,PP5080554,Recharge_Bills,DTH ,Success,Success,19-07-2026
RCG_RXGO23DDCJS0C,1971.07,PP8142469,Recharge_Bills,FASTag Recharge,Success,Success,19-07-2026
RCG_JPT4NBP7Z1T6D,620.95,PP8957070,Recharge_Bills,FASTag Recharge,Success,Success,19-07-2026
RCG_UB5G20PA2W5TC,806.63,PP3273237,Recharge_Bills,Mobile Recharge,Success,Success,19-07-2026
RCG_94R4AHJIOZJ7E,389.61,PP9181321,Recharge_Bills,Mobile Recharge,Success,Success,19-07-2026
RCG_PI21AMXTXIN7R,1229.69,PP2418138,Recharge_Bills,FASTag Recharge ,Failed,Insufficient Balance,19-07-2026
RCG_MT3VF7A45U8LL,786.18,PP3056041,Recharge_Bills,FASTag Recharge,Success,Success,19-07-2026
RCG_0F4S6SNUWXT7U,588.84,PP9621817,Recharge_Bills,DTH,Success,Success,19-07-2026
RCG_T1Q8UP1YFQI6G,1205.47,PP3746943,Recharge_Bills,DTH ,Success,Success,19-07-2026
RCG_YZT3NEMOC4CVR,1837.46,PP6231822,Recharge_Bills,Mobile Recharge,Success,Success,19-07-2026
RCG_XZT1Q4KEW86WQ,52.93,PP4673378,Recharge_Bills,Mobile Recharge,Success,Success,19-07-2026
RCG_4WMMSC186VTTF,1194.48,PP5995461,Recharge_Bills,Mobile Recharge ,Success,Success,19-07-2026
RCG_NU0RHP5Y9EAPV,1763.71,PP6277096,Recharge_Bills,FASTag Recharge ,Success,Success,19-07-2026
RCG_BLCLMHKG9GAJ7,363.52,PP6323062,Recharge_Bills,DTH,Success,Success,19-07-2026
RCG_GKKAY9K8SXYR3,1849.1,PP7344320,Recharge_Bills,Mobile Recharge,Success,Success,19-07-2026
RCG_DG8DOBZHMXES9,1590.77,PP2345318,Recharge_Bills,Mobile Recharge ,Success,Success,19-07-2026
RCG_7HZTG99TC2SWJ,219.89,PP1319998,Recharge_Bills,Cable TV ,Success,Success,19-07-2026
RCG_DAM9JSCZNHZ97,1611.13,PP8731934,Recharge_Bills,nan ,Success,Success,19-07-2026
RCG_KZ1GNF29CGC9G,1551.94,PP9802598,Recharge_Bills,DTH ,Success,Success,19-07-2026
